1/01/2008,05:46,06:19,06:53,07:23,16:47,17:17,17:51,18:24
1/02/2008,05:46,06:19,06:53,07:23,16:48,17:18,17:52,18:25
1/03/2008,05:46,06:19,06:53,07:23,16:48,17:19,17:53,18:25
1/04/2008,05:46,06:19,06:53,07:23,16:49,17:20,17:53,18:26
1/05/2008,05:47,06:19,06:53,07:23,16:50,17:20,17:54,18:27
1/06/2008,05:47,06:19,06:53,07:23,16:51,17:21,17:55,18:28
1/07/2008,05:47,06:19,06:53,07:23,16:52,17:22,17:56,18:29
1/08/2008,05:47,06:19,06:53,07:23,16:53,17:23,17:57,18:30
1/09/2008,05:47,06:19,06:53,07:23,16:54,17:24,17:58,18:30
1/10/2008,05:47,06:19,06:53,07:23,16:55,17:25,17:59,18:31
1/11/2008,05:46,06:19,06:53,07:23,16:56,17:26,18:00,18:32
1/12/2008,05:46,06:19,06:52,07:22,16:57,17:27,18:01,18:33
1/13/2008,05:46,06:19,06:52,07:22,16:58,17:28,18:02,18:34
1/14/2008,05:46,06:19,06:52,07:22,16:59,17:29,18:03,18:35
1/15/2008,05:46,06:18,06:52,07:21,17:00,17:30,18:03,18:36
1/16/2008,05:46,06:18,06:51,07:21,17:02,17:31,18:04,18:37
1/17/2008,05:45,06:18,06:51,07:21,17:03,17:32,18:05,18:38
1/18/2008,05:45,06:17,06:51,07:20,17:04,17:33,18:06,18:39
1/19/2008,05:45,06:17,06:50,07:20,17:05,17:34,18:08,18:40
1/20/2008,05:44,06:16,06:50,07:19,17:06,17:35,18:09,18:41
1/21/2008,05:44,06:16,06:49,07:18,17:07,17:37,18:10,18:42
1/22/2008,05:43,06:16,06:49,07:18,17:08,17:38,18:11,18:43
1/23/2008,05:43,06:15,06:48,07:17,17:10,17:39,18:12,18:44
1/24/2008,05:42,06:14,06:47,07:17,17:11,17:40,18:13,18:45
1/25/2008,05:42,06:14,06:47,07:16,17:12,17:41,18:14,18:46
1/26/2008,05:41,06:13,06:46,07:15,17:13,17:42,18:15,18:47
1/27/2008,05:41,06:13,06:45,07:14,17:14,17:43,18:16,18:48
1/28/2008,05:40,06:12,06:45,07:14,17:15,17:44,18:17,18:49
1/29/2008,05:39,06:11,06:44,07:13,17:17,17:45,18:18,18:50
1/30/2008,05:39,06:10,06:43,07:12,17:18,17:47,18:19,18:51
1/31/2008,05:38,06:10,06:42,07:11,17:19,17:48,18:20,18:52
2/01/2008,05:37,06:09,06:41,07:10,17:20,17:49,18:21,18:53
2/02/2008,05:36,06:08,06:40,07:09,17:21,17:50,18:22,18:54
2/03/2008,05:35,06:07,06:40,07:08,17:23,17:51,18:23,18:55
2/04/2008,05:35,06:06,06:39,07:07,17:24,17:52,18:25,18:56
2/05/2008,05:34,06:05,06:38,07:06,17:25,17:53,18:26,18:57
2/06/2008,05:33,06:05,06:37,07:05,17:26,17:55,18:27,18:58
2/07/2008,05:32,06:04,06:36,07:04,17:27,17:56,18:28,18:59
2/08/2008,05:31,06:03,06:35,07:03,17:29,17:57,18:29,19:00
2/09/2008,05:30,06:02,06:34,07:02,17:30,17:58,18:30,19:02
2/10/2008,05:29,06:00,06:32,07:01,17:31,17:59,18:31,19:03
2/11/2008,05:28,05:59,06:31,06:59,17:32,18:00,18:32,19:04
2/12/2008,05:27,05:58,06:30,06:58,17:33,18:01,18:33,19:05
2/13/2008,05:26,05:57,06:29,06:57,17:35,18:03,18:34,19:06
2/14/2008,05:25,05:56,06:28,06:56,17:36,18:04,18:35,19:07
2/15/2008,05:23,05:55,06:27,06:54,17:37,18:05,18:36,19:08
2/16/2008,05:22,05:54,06:25,06:53,17:38,18:06,18:38,19:09
2/17/2008,05:21,05:52,06:24,06:52,17:39,18:07,18:39,19:10
2/18/2008,05:20,05:51,06:23,06:51,17:40,18:08,18:40,19:11
2/19/2008,05:19,05:50,06:22,06:49,17:42,18:09,18:41,19:12
2/20/2008,05:17,05:49,06:20,06:48,17:43,18:10,18:42,19:13
2/21/2008,05:16,05:47,06:19,06:46,17:44,18:11,18:43,19:14
2/22/2008,05:15,05:46,06:18,06:45,17:45,18:13,18:44,19:15
2/23/2008,05:13,05:45,06:16,06:44,17:46,18:14,18:45,19:16
2/24/2008,05:12,05:43,06:15,06:42,17:47,18:15,18:46,19:18
2/25/2008,05:11,05:42,06:13,06:41,17:48,18:16,18:47,19:19
2/26/2008,05:09,05:41,06:12,06:39,17:50,18:17,18:48,19:20
2/27/2008,05:08,05:39,06:11,06:38,17:51,18:18,18:49,19:21
2/28/2008,05:06,05:38,06:09,06:36,17:52,18:19,18:50,19:22
2/29/2008,05:05,05:36,06:08,06:35,17:53,18:20,18:51,19:23
3/01/2008,05:03,05:35,06:06,06:33,17:54,18:21,18:53,19:24
3/02/2008,05:02,05:33,06:05,06:32,17:55,18:22,18:54,19:25
3/03/2008,05:00,05:32,06:03,06:30,17:56,18:23,18:55,19:26
3/04/2008,04:59,05:30,06:02,06:29,17:57,18:24,18:56,19:27
3/05/2008,04:57,05:29,06:00,06:27,17:58,18:25,18:57,19:28
3/06/2008,04:56,05:27,05:59,06:26,17:59,18:27,18:58,19:29
3/07/2008,04:54,05:26,05:57,06:24,18:01,18:28,18:59,19:31
3/08/2008,04:53,05:24,05:56,06:23,18:02,18:29,19:00,19:32
3/10/2008,05:49,06:21,06:52,07:19,19:04,19:31,20:02,20:34
3/11/2008,05:48,06:19,06:51,07:18,19:05,19:32,20:03,20:35
3/12/2008,05:46,06:18,06:49,07:16,19:06,19:33,20:04,20:36
3/13/2008,05:44,06:16,06:48,07:15,19:07,19:34,20:05,20:37
3/14/2008,05:43,06:15,06:46,07:13,19:08,19:35,20:06,20:38
3/15/2008,05:41,06:13,06:44,07:11,19:09,19:36,20:07,20:39
3/16/2008,05:39,06:11,06:43,07:10,19:10,19:37,20:09,20:41
3/17/2008,05:38,06:10,06:41,07:08,19:11,19:38,20:10,20:42
3/18/2008,05:36,06:08,06:40,07:07,19:12,19:39,20:11,20:43
3/19/2008,05:34,06:06,06:38,07:05,19:13,19:40,20:12,20:44
3/20/2008,05:32,06:05,06:36,07:03,19:14,19:41,20:13,20:45
3/21/2008,05:31,06:03,06:35,07:02,19:15,19:42,20:14,20:46
3/22/2008,05:29,06:01,06:33,07:00,19:16,19:43,20:15,20:47
3/23/2008,05:27,06:00,06:31,06:58,19:17,19:44,20:16,20:49
3/24/2008,05:25,05:58,06:30,06:57,19:18,19:45,20:17,20:50
3/25/2008,05:24,05:56,06:28,06:55,19:19,19:46,20:18,20:51
3/26/2008,05:22,05:54,06:26,06:54,19:20,19:47,20:19,20:52
3/27/2008,05:20,05:53,06:25,06:52,19:21,19:49,20:21,20:53
3/28/2008,05:18,05:51,06:23,06:50,19:22,19:50,20:22,20:55
3/29/2008,05:16,05:49,06:21,06:49,19:23,19:51,20:23,20:56
3/30/2008,05:14,05:48,06:20,06:47,19:24,19:52,20:24,20:57
3/31/2008,05:13,05:46,06:18,06:45,19:25,19:53,20:25,20:58
4/01/2008,05:11,05:44,06:17,06:44,19:26,19:54,20:26,21:00
4/02/2008,05:09,05:42,06:15,06:42,19:27,19:55,20:27,21:01
4/03/2008,05:07,05:41,06:13,06:41,19:28,19:56,20:28,21:02
4/04/2008,05:05,05:39,06:12,06:39,19:29,19:57,20:30,21:03
4/05/2008,05:03,05:37,06:10,06:38,19:30,19:58,20:31,21:05
4/06/2008,05:02,05:36,06:08,06:36,19:31,19:59,20:32,21:06
4/07/2008,05:00,05:34,06:07,06:34,19:32,20:00,20:33,21:07
4/08/2008,04:58,05:32,06:05,06:33,19:33,20:01,20:34,21:09
4/09/2008,04:56,05:30,06:03,06:31,19:34,20:02,20:35,21:10
4/10/2008,04:54,05:29,06:02,06:30,19:35,20:03,20:37,21:11
4/11/2008,04:52,05:27,06:00,06:28,19:36,20:04,20:38,21:12
4/12/2008,04:50,05:25,05:59,06:27,19:38,20:05,20:39,21:14
4/13/2008,04:49,05:24,05:57,06:25,19:39,20:07,20:40,21:15
4/14/2008,04:47,05:22,05:56,06:24,19:40,20:08,20:41,21:17
4/15/2008,04:45,05:20,05:54,06:22,19:41,20:09,20:42,21:18
4/16/2008,04:43,05:19,05:52,06:21,19:42,20:10,20:44,21:19
4/17/2008,04:41,05:17,05:51,06:19,19:43,20:11,20:45,21:21
4/18/2008,04:39,05:15,05:49,06:18,19:44,20:12,20:46,21:22
4/19/2008,04:38,05:14,05:48,06:16,19:45,20:13,20:47,21:23
4/20/2008,04:36,05:12,05:46,06:15,19:46,20:14,20:49,21:25
4/21/2008,04:34,05:10,05:45,06:13,19:47,20:15,20:50,21:26
4/22/2008,04:32,05:09,05:43,06:12,19:48,20:16,20:51,21:28
4/23/2008,04:30,05:07,05:42,06:11,19:49,20:17,20:52,21:29
4/24/2008,04:28,05:06,05:40,06:09,19:50,20:19,20:53,21:31
4/25/2008,04:27,05:04,05:39,06:08,19:51,20:20,20:55,21:32
4/26/2008,04:25,05:02,05:38,06:07,19:52,20:21,20:56,21:34
4/27/2008,04:23,05:01,05:36,06:05,19:53,20:22,20:57,21:35
4/28/2008,04:21,04:59,05:35,06:04,19:54,20:23,20:58,21:36
4/29/2008,04:20,04:58,05:33,06:03,19:55,20:24,21:00,21:38
4/30/2008,04:18,04:56,05:32,06:01,19:56,20:25,21:01,21:39
5/01/2008,04:16,04:55,05:31,06:00,19:57,20:26,21:02,21:41
5/02/2008,04:14,04:53,05:29,05:59,19:58,20:27,21:03,21:42
5/03/2008,04:13,04:52,05:28,05:58,19:59,20:28,21:05,21:44
5/04/2008,04:11,04:51,05:27,05:57,20:00,20:30,21:06,21:45
5/05/2008,04:09,04:49,05:26,05:55,20:01,20:31,21:07,21:47
5/06/2008,04:08,04:48,05:24,05:54,20:02,20:32,21:08,21:48
5/07/2008,04:06,04:46,05:23,05:53,20:03,20:33,21:10,21:50
5/08/2008,04:05,04:45,05:22,05:52,20:04,20:34,21:11,21:51
5/09/2008,04:03,04:44,05:21,05:51,20:05,20:35,21:12,21:53
5/10/2008,04:01,04:42,05:20,05:50,20:06,20:36,21:13,21:54
5/11/2008,04:00,04:41,05:19,05:49,20:07,20:37,21:15,21:56
5/12/2008,03:58,04:40,05:17,05:48,20:08,20:38,21:16,21:57
